CWUR 2021-2022 Rank,Name
1094,University of Lleida
1095,Toho University
1096,College of the Holy Cross
1097,University of Calcutta
1098,Liverpool School of Tropical Medicine
1099,University of Hertfordshire
1100,Copenhagen Business School
1101,Loma Linda University
1102,Visva-Bharati University
1103,University of Thessaly
1104,"University of Veterinary Medicine, Vienna"
1105,Shahid Beheshti University
1106,Teikyo University
1107,University of Neuchâtel
1108,Maria Sklodowska-Curie National Research Institute of Oncology
1109,University of Kassel
1110,University of Évry Val d'Essonne
1111,Manchester Metropolitan University
1112,Institute of Science and Technology Austria
1113,University of Waikato
1114,University of Canberra
1115,University of Massachusetts Lowell
1116,"University of Chemistry and Technology, Prague"
1117,"California State University, Fresno"
1118,Chemnitz University of Technology
1119,Soonchunhyang University
1120,Hubei University
1121,National Institute of Public Health (INSP)
1122,South Dakota State University
1123,Ramon Llull University
1124,"Indian Institute of Science Education and Research, Pune"
1125,Kyoto Prefectural University of Medicine
1126,Tokat Gaziosmanpaşa University
1127,Tiangong University
1128,Postgraduate Institute of Medical Education and Research
1129,Shantou University
1130,Ural Federal University
1131,Shanghai University of Finance and Economics
1132,Metropolitan Autonomous University
1133,San Francisco State University
1134,Federal University of São João del-Rei
1135,Wright State University
1136,Marquette University
1137,New York Medical College
1138,University of Silesia in Katowice
1139,Aligarh Muslim University
1140,National Defense Medical Center
1141,Mie University
1142,Dokuz Eylül University
1143,University of Sfax
1144,Yamaguchi University
1145,İzmir Institute of Technology
1146,École centrale de Lyon
1147,Jiangsu Normal University
1148,Hofstra University
1149,Howard University
1150,Addis Ababa University
1151,Bowdoin College
1152,Pukyong National University
1153,United States Military Academy
1154,Luleå University of Technology
1155,Stevens Institute of Technology
1156,Ibero-American University
1157,Chung Shan Medical University
1158,Jacobs University
1159,Magna Graecia University of Catanzaro
1160,Koç University
1161,University of Las Palmas de Gran Canaria
1162,West University of Timișoara
1163,University of the Free State
1164,Guizhou University
1165,Osnabrück University
1166,University of Yamanashi
